"H","PhaseChangeHeat","T","U:0","U:1","U:2","alpha1","p","p_rgh","Points:0","Points:1","Points:2"
-5,0,368,0,0,0,1,1e+05,1e+05,0,0.004,5e-05
-5,0,368,0,0,0,1,1e+05,1e+05,0,0.004,0
-20746,0,368.06,-1.999e-09,-0.00032933,0,1,1e+05,1e+05,4.0152e-07,0.004,5e-05
-20746,0,368.06,-1.999e-09,-0.00032933,0,1,1e+05,1e+05,4.0152e-07,0.004,0
-20489,0,368.12,-6.7217e-09,-0.0006565,0,1,1e+05,1e+05,8.0962e-07,0.004,5e-05
-20489,0,368.12,-6.7217e-09,-0.0006565,0,1,1e+05,1e+05,8.0962e-07,0.004,0
-20228,0,368.18,-1.2366e-08,-0.00098293,0,1,1e+05,1e+05,1.2244e-06,0.004,5e-05
-20228,0,368.18,-1.2366e-08,-0.00098293,0,1,1e+05,1e+05,1.2244e-06,0.004,0
-19962,0,368.25,-1.8109e-08,-0.0013088,0,1,1e+05,1e+05,1.646e-06,0.004,5e-05
-19962,0,368.25,-1.8109e-08,-0.0013088,0,1,1e+05,1e+05,1.646e-06,0.004,0
-19693,0,368.31,-2.3948e-08,-0.001634,0,1,1e+05,1e+05,2.0745e-06,0.004,5e-05
-19693,0,368.31,-2.3948e-08,-0.001634,0,1,1e+05,1e+05,2.0745e-06,0.004,0
-19418,0,368.38,-2.9565e-08,-0.0019583,0,1,1e+05,1e+05,2.51e-06,0.004,5e-05
-19418,0,368.38,-2.9565e-08,-0.0019583,0,1,1e+05,1e+05,2.51e-06,0.004,0
-19140,0,368.44,-3.514e-08,-0.0022816,0,1,1e+05,1e+05,2.9527e-06,0.004,5e-05
-19140,0,368.44,-3.514e-08,-0.0022816,0,1,1e+05,1e+05,2.9527e-06,0.004,0
-18856,0,368.51,-4.0708e-08,-0.0026034,0,1,1e+05,1e+05,3.4026e-06,0.004,5e-05
-18856,0,368.51,-4.0708e-08,-0.0026034,0,1,1e+05,1e+05,3.4026e-06,0.004,0
-18568,0,368.58,-4.6248e-08,-0.0029237,0,1,1e+05,1e+05,3.8599e-06,0.004,5e-05
-18568,0,368.58,-4.6248e-08,-0.0029237,0,1,1e+05,1e+05,3.8599e-06,0.004,0
-18276,0,368.65,-5.1764e-08,-0.0032421,0,1,1e+05,1e+05,4.3247e-06,0.004,5e-05
-18276,0,368.65,-5.1764e-08,-0.0032421,0,1,1e+05,1e+05,4.3247e-06,0.004,0
-17978,0,368.72,-5.7251e-08,-0.0035585,0,1,1e+05,1e+05,4.7971e-06,0.004,5e-05
-17978,0,368.72,-5.7251e-08,-0.0035585,0,1,1e+05,1e+05,4.7971e-06,0.004,0
-17676,0,368.79,-6.2706e-08,-0.0038724,0,1,1e+05,1e+05,5.2772e-06,0.004,5e-05
-17676,0,368.79,-6.2706e-08,-0.0038724,0,1,1e+05,1e+05,5.2772e-06,0.004,0
-17369,0,368.86,-6.8126e-08,-0.0041837,0,1,1e+05,1e+05,5.7652e-06,0.004,5e-05
-17369,0,368.86,-6.8126e-08,-0.0041837,0,1,1e+05,1e+05,5.7652e-06,0.004,0
-17057,0,368.94,-7.3505e-08,-0.004492,0,1,1e+05,1e+05,6.2612e-06,0.004,5e-05
-17057,0,368.94,-7.3505e-08,-0.004492,0,1,1e+05,1e+05,6.2612e-06,0.004,0
-16740,0,369.01,-7.884e-08,-0.0047971,0,1,1e+05,1e+05,6.7654e-06,0.004,5e-05
-16740,0,369.01,-7.884e-08,-0.0047971,0,1,1e+05,1e+05,6.7654e-06,0.004,0
-16417,3.745e-05,369.09,-8.4125e-08,-0.0050985,0,1,1e+05,1e+05,7.2778e-06,0.004,5e-05
-16417,3.745e-05,369.09,-8.4125e-08,-0.0050985,0,1,1e+05,1e+05,7.2778e-06,0.004,0
-16090,7.4138e-05,369.17,-8.9355e-08,-0.005396,0,1,1e+05,1e+05,7.7986e-06,0.004,5e-05
-16090,7.4138e-05,369.17,-8.9355e-08,-0.005396,0,1,1e+05,1e+05,7.7986e-06,0.004,0
-15757,7.2604e-05,369.25,-9.4525e-08,-0.0056892,0,1,1e+05,1e+05,8.3279e-06,0.004,5e-05
-15757,7.2604e-05,369.25,-9.4525e-08,-0.0056892,0,1,1e+05,1e+05,8.3279e-06,0.004,0
-15418,7.1045e-05,369.33,-9.9629e-08,-0.0059777,0,1,1e+05,1e+05,8.8659e-06,0.004,5e-05
-15418,7.1045e-05,369.33,-9.9629e-08,-0.0059777,0,1,1e+05,1e+05,8.8659e-06,0.004,0
-15075,6.9461e-05,369.41,-1.0466e-07,-0.0062612,0,1,1e+05,1e+05,9.4127e-06,0.004,5e-05
-15075,6.9461e-05,369.41,-1.0466e-07,-0.0062612,0,1,1e+05,1e+05,9.4127e-06,0.004,0
-14725,6.7851e-05,369.49,-1.0962e-07,-0.0065392,0,1,1e+05,1e+05,9.9685e-06,0.004,5e-05
-14725,6.7851e-05,369.49,-1.0962e-07,-0.0065392,0,1,1e+05,1e+05,9.9685e-06,0.004,0
-14370,6.6215e-05,369.58,-1.1449e-07,-0.0068113,0,1,1e+05,1e+05,1.0533e-05,0.004,5e-05
-14370,6.6215e-05,369.58,-1.1449e-07,-0.0068113,0,1,1e+05,1e+05,1.0533e-05,0.004,0
-14009,6.4553e-05,369.66,-1.1928e-07,-0.007077,0,1,1e+05,1e+05,1.1108e-05,0.004,5e-05
-14009,6.4553e-05,369.66,-1.1928e-07,-0.007077,0,1,1e+05,1e+05,1.1108e-05,0.004,0
-13643,6.2864e-05,369.75,-1.2397e-07,-0.007336,0,1,1e+05,1e+05,1.1691e-05,0.004,5e-05
-13643,6.2864e-05,369.75,-1.2397e-07,-0.007336,0,1,1e+05,1e+05,1.1691e-05,0.004,0
-13270,6.1148e-05,369.84,-1.2856e-07,-0.0075877,0,1,1e+05,1e+05,1.2284e-05,0.004,5e-05
-13270,6.1148e-05,369.84,-1.2856e-07,-0.0075877,0,1,1e+05,1e+05,1.2284e-05,0.004,0
-12892,5.9404e-05,369.93,-1.3304e-07,-0.0078316,0,1,1e+05,1e+05,1.2887e-05,0.004,5e-05
-12892,5.9404e-05,369.93,-1.3304e-07,-0.0078316,0,1,1e+05,1e+05,1.2887e-05,0.004,0
-12507,5.7632e-05,370.02,-1.374e-07,-0.0080672,0,1,1e+05,1e+05,1.35e-05,0.004,5e-05
-12507,5.7632e-05,370.02,-1.374e-07,-0.0080672,0,1,1e+05,1e+05,1.35e-05,0.004,0
-12117,5.5832e-05,370.12,-1.4162e-07,-0.008294,0,1,1e+05,1e+05,1.4123e-05,0.004,5e-05
-12117,5.5832e-05,370.12,-1.4162e-07,-0.008294,0,1,1e+05,1e+05,1.4123e-05,0.004,0
-11720,5.4002e-05,370.21,-1.4571e-07,-0.0085114,0,1,1e+05,1e+05,1.4756e-05,0.004,5e-05
-11720,5.4002e-05,370.21,-1.4571e-07,-0.0085114,0,1,1e+05,1e+05,1.4756e-05,0.004,0
-11316,5.2144e-05,370.31,-1.4984e-07,-0.0087188,0,1,1e+05,1e+05,1.5399e-05,0.004,5e-05
-11316,5.2144e-05,370.31,-1.4984e-07,-0.0087188,0,1,1e+05,1e+05,1.5399e-05,0.004,0
-10907,5.0256e-05,370.4,-1.543e-07,-0.0089157,0,1,1e+05,1e+05,1.6053e-05,0.004,5e-05
-10907,5.0256e-05,370.4,-1.543e-07,-0.0089157,0,1,1e+05,1e+05,1.6053e-05,0.004,0
-10490,4.8337e-05,370.5,-1.5862e-07,-0.0091013,0,1,1e+05,1e+05,1.6718e-05,0.004,5e-05
-10490,4.8337e-05,370.5,-1.5862e-07,-0.0091013,0,1,1e+05,1e+05,1.6718e-05,0.004,0
-10067,4.6388e-05,370.6,-1.5811e-07,-0.009275,0,1,1e+05,1e+05,1.7393e-05,0.004,5e-05
